title	text	publication_date
المفوضية الأوروبية تهدد مايكروسوفت بعقوبات على خلفية التضليل المرتبط بالذكاء الاصطناعي	هددت المفوضية الأوروبية الجمعة موقع “بينغ” التابع لمجموعة “مايكروسوفت” بعقوبات مالية لعدم استجابته لطلباتها بالحصول على معلومات عن مخاطر المعلومات المضللة المرتبطة بوظائف الذكاء الاصطناعي لمحرك البحث.	18/5/2024
ماسك يعلن الانتقال النهائي رسميا من "تويتر" إلى "إكس دوت كوم"	أعلن الملياردير الأميركي إيلون ماسك، الجمعة، عبر منصة إكس أن “كل الأنظمة الأساسية” لشبكته الاجتماعية المعروفة سابقا باسم تويتر، “باتت فاعلة” تحت اسم النطاق “إكس.كوم”.	17/5/2024
تقنيات جديدة وذكاء اصطناعي يتوسط ساحة الحرب على غزة.. ولكن هل حقق المطلوب؟	استخدمت إسرائيل كل ما لديها من تقنيات في حربها على غزة، تقنيات غير موجودة لدى بعض أكثر الدول تقدما، لكن هل نجحت هذه التقنيات بترجيح كفتها في الحرب؟	17/5/2024
كيف تحمي أعمالك الفنية من الذكاء الاصطناعي	أعرب الفنانون والمبدعون عن قلقهم بشأن الذكاء الاصطناعي التوليدي الذي يكرر ويسرق أعمالهم وأسلوبهم الفني وربما حياتهم المهنية، ولكن هناك أداة يمكنها حماية الأعمال الفنية من التقليد.	16/5/2024
الذكاء الاصطناعي قد يعوق الوصول إلى حضارات ذكية أخرى	دراسة حديثة تعتقد أنّ الذكاء الاصطناعي يحجّم فرص البشر من التواصل مع أيّ حضارة ذكية أخرى في الكون.	16/5/2024
"الجزيرة نت" تحاور مصمما عالميا دخل موسوعة غينيس واستعاد وجه فرعون	تحاور “الجزيرة نت” المصمم العالمي ثلاثي الأبعاد سيسيرو مورايس الذي أجاب على 13 سؤالا عن تفاصيل مهنته وكيف تساعد في كشف أسرار الماضي وتساهم في تخفيف آلام البشر والكائنات الحية؟	16/5/2024
أميركا تبحث مخاوفها من "إساءة استخدام" الصين للذكاء الاصطناعي	أعلنت الولايات المتحدة الأربعاء أنها أثارت مع الصين مخاوفها بشأن “إساءة استخدام” الأخيرة للذكاء الاصطناعي، لكنها أعربت عن أملها في إبقاء قنوات التواصل مفتوحة بين القوتين الكُبريين بشأن هذه التقنية.	16/5/2024
شاشة في خوذة ترفع مستوى الأمان بالدراجة النارية	عند قيادة الدراجات النارية يتابع قائد الدراجة النارية حركة الطريق من حوله باستمرار، ولكنه قد يحتاج إلى إلقاء نظرة على لوحة العداد، وهو ما قد يتسبب في تشتت انتباهه، هنا تظهر أهمية شاشة “هيد أب”.	15/5/2024
إليك أهم الميزات التي تسهل استخدام هاتف آيفون	يُنتقد جهاز آيفون لافتقاره إلى ميزات التخصيص العميقة لنظام أندرويد، ولكن أحد الجوانب التي يتألق فيها هو ميزاته الخفية التي غالبًا ما تسهل استخدامه.	15/5/2024
إيليا سوتسكيفر كبير العلماء في "أوبن إيه آي" يعلن تركه مجلس إدارة الشركة	أعلن المشارك في تأسيس “أوبن إيه آي” إيليا سوتسكيفر الثلاثاء تركه مجلس إدارة الشركة التي باتت من أبرز المجموعات التكنولوجية في “سيليكون فالي” بفضل برنامجها “تشات جي بي تي”.	15/5/2024
عصر جيميناي.. أهم ما أعلنت عنه غوغل في مؤتمر المطورين "آي/ أو" 2024	استمرارًا لصراع الذكاء الاصطناعي الحالي، ركزت غوغل في مؤتمرها  للمطورين “آي/ أو” لعام 2024 على أحدث مميزات نموذجها للذكاء الاصطناعي التوليدي “جيميناي”.	15/5/2024
تقرير أممي يحذر من تفاقم مشكلة النفايات الإلكترونية	كشف تقرير للأمم المتحدة عن أن توليد النفايات الإلكترونية في العالم يتزايد بمعدل 5 مرات أسرع من إعادة تدوير النفايات الإلكترونية الموثقة.	14/5/2024
أوبن إيه آي تشعل المنافسة بإطلاقها "جي بي تي-4 أو"	طرحت “أوبن إيه آي” نموذجا جديدا للذكاء الاصطناعي، من روبوت المحادثة الشهير “شات جي بي تي”، إلى جانب تحديث واجهة المستخدم، لتشعل المنافسة المحتدمة في سوق روبوتات الذكاء الاصطناعي.	14/5/2024
380 مليار دولار لتطوير أشباه الموصلات والمنافسة على أشدها بين الكبار	خصصت الولايات المتحدة وحلفاؤها نحو 81 مليار دولار لتطوير الجيل القادم من أشباه الموصلات، في حين يمثل التدفق الهائل من الأموال نحو هذا القطاع منعطفا حاسما في المواجهة التكنولوجية المستمرة مع الصين.	14/5/2024
الجزيرة نت تحاور "إكس بوكس" وأستوديو "ميزان" القطري حول مستقبل ألعاب المنطقة	جذب الحراك الذي تشهده المنطقة، في مجال صناعة الألعاب، انتباه شركة “إكس بوكس” التابعة لمايكروسوفت، والتي تبنت لعبة عربية حديثة من تطوير أستوديو ألعاب قطري.	13/5/2024
مهرجان للسينما بالذكاء الاصطناعي.. هل تتأثر هوليود بالتطور التقني قريبا؟	يفتح مهرجان نيويورك لأفلام الذكاء الاصطناعي الباب على الإمكانات المتاحة من خلال هذه التكنولوجيا التي أصبحت في متناول الجميع، عبر أفلام قصيرة تعكس خيال مبتكريها مع مشاهد ذات طابع جمالي خارق.	13/5/2024
انتبه لهذه الأشياء قبل شراء السماعة اللاسلكية من "سينهايزر"	تحتدم المنافسة في سوق السماعات اللاسلكية بشدة، وتسعى بعض الشركات إلى التفوق على منافسيها بطرح طرازات منخفضة التكلفة.	13/5/2024
ميزة "دائرة البحث" الجديدة من غوغل تنتقل لآيفون	نجحت شركة التكنولوجيا وخدمات الإنترنت العملاقة (غوغل) في إيجاد طريقة لتوفير خاصية البحث الذكية الجديدة المعروفة باسم “دائرة البحث” أو “سيركل تو سيرش” لمستخدمي هواتف آيفون الذكية.	12/5/2024
في سابقة تاريخية للشركة موظفو أحد متاجر "آبل" يصوتون لصالح الإضراب	صوّت موظفو أحد متاجر شركة “آبل” في الولايات المتحدة لصالح إضراب، قد يكون في حال تنفيذه، الأوّل الذي يطال المجموعة الأميركية العملاقة.	12/5/2024
أمثلة على "خداع" الذكاء الاصطناعي البشر… والآتي أعظم!	يخشى البعض من أن ينقلب الذكاء الاصطناعي على الإنسان مستقبلا، لكن هذه المخاوف باتت واقعا منذ الآن، وفقا لدراسة جديدة، إذ إن البرامج التي صمِمت لتكون صادقة، باتت لديها قدرة مثيرة للقلق على خداع البشر.	12/5/2024
أسهل طريقة لاستخدام هاتف الأندرويد ككاميرا للحاسوب الشخصي	بالرغم من إمكانية استخدام الهواتف الذكية فعلا ككاميرا ويب على جهاز حاسوب يعمل بنظام ويندوز، فإنك غالبًا ستجد الأمر مرهقا ومربكا بعض الشيء، ولا يتمتع بثبات جيد وبالكاد يحقق الفائدة المرجوة.	11/5/2024
ماذا يعني وضع الإغلاق في أجهزة آبل ومن يحتاجه؟	صمم وضع الإغلاق من آبل لمنع الهجمات السيبرانية المتطورة والقوية على أجهزة الشركة، إذ يوفر إعدادات أمان فائقة لأجهزة آيفون، وأجهزة آيباد التي تعمل بأنظمة “آي أو إس 16” والإصدارات الأحدث.	11/5/2024
كيف تتحقق من استخدام باقة البيانات في هاتف الآيفون؟	قد تستفيد من الاتصال بالإنترنت عبر تشغيل باقة بيانات الهاتف على الآيفون، لكن يمكن أن يؤثر على الفاتورة أو انتهاء الباقة بسرعة دون علمك. لهذا، قد تحتاج إلى تتبع استخدامك لباقة البيانات.	10/5/2024
الفيديو الإعلاني لجهاز "آي باد برو" اللوحي الجديد يثير سخط الفنانين	أعرب فنانون معروفون عن سخطهم من فكرة الفيديو الإعلاني لجهاز “آي باد برو” الجديد رأوا فيه تمجيدا للذكاء الاصطناعي على حساب البشر، إذ تظهر فيه أشكال من الإبداع البشري تتعرض للسحق.	10/5/2024
لماذا يعد واتساب تطبيق المراسلة الرقمي الأول في العالم؟	شهد تطبيق واتساب صعودا سريعا منذ انطلاقه عام 2009، ولم تظهر عليه أي علامات على التوقف. وهو اليوم ثالث أكبر تطبيقات وسائل التواصل الاجتماعية من حيث عدد المستخدمين العالميين من بعد فيسبوك ويوتيوب.	9/5/2024
إشارات مخادعة.. كيف تؤثر هجمات الخداع على رحلات الطيران المدني؟	في أواخر أغسطس/آب الماضي، بدأ الطيارون ممن يعملون ضمن منطقة الشرق الأوسط في الإبلاغ عن حالات تعرض أنظمة الملاحة على متن طائراتهم لإشارات مزيفة من نظام “جي بي إس” مما يظهرها كأنها بعيدة عن مسارها.	9/5/2024
لمنع الانتحار.. فك شفرة المشاعر الإنسانية بالذكاء الاصطناعي	طور باحثون نموذجا لفك شفرة المشاعر الإنسانية باستخدام أدوات الذكاء الاصطناعي تدعم عمل مستشاري الخطوط الساخنة لمكافحة الانتحار.	9/5/2024
باريس 2024 تستعين بالذكاء الاصطناعي لحماية الرياضيين خلال الأولمبياد	قررت اللجنة الأولمبية الدولية استخدام نظام مراقبة مدعوما بالذكاء الاصطناعي لحماية الرياضيين والمسؤولين من الإساءات عبر شبكة الإنترنت، خلال الأولمبياد ودورة الألعاب الباراليمبية بالعاصمة باريس.	9/5/2024
السيارات الذاتية القيادة.. الخطر الأكبر في طرقات المستقبل؟	رغم أن فكرة السيارات الذاتية القيادة مازالت تبدو مستقبلية بعض الشيء، كوننا لم نصل إلى السيارات إليها بشكل كامل ودون تدخل بشري، فإننا قطعنا أشواطا عديدة في السنوات الماضية.	8/5/2024
تيك توك تقاضي الحكومة الأميركية بدعوى أن الحظر ينتهك الدستور	رفعت شركة تيك توك دعوى قضائية ضد الحكومة الأميركية لوقف تنفيذ مشروع القانون الذي صدر الشهر الماضي بهدف إجبار الشركة الصينية المالكة للتطبيق على بيع حصتها أو حظر التطبيق في الولايات المتحدة.	8/5/2024
أوبن إيه آي تطور أدوات جديدة لاكتشاف المحتوى المولد بالذكاء الاصطناعي	أضافت شركة أوبن إيه آي أداة جديدة لاكتشاف إن كانت الصورة قد صُنعت باستخدام مولدها للصور بالذكاء الاصطناعي “دال-إي”، بالإضافة إلى أساليب جديدة لوضع علامات مائية للإشارة إلى المحتوى الذي يصنعه التطبيق.	8/5/2024
كيف تؤثر التكنولوجيا على حواسنا؟	يؤدي فقدان حاسة الشم إلى مصائب منها الانتحار كما يقول الخبراء، فما تأثير التكنولوجيا عليها وعلى بقية الحواس ومراكز التفكير والإدراك؟	8/5/2024
آيباد أنحف وقلم جديد.. هذا أبرز ما أعلنته آبل في مؤتمرها	انتهى حدث شركة آبل الذي كشفت فيه الشركة الأميركية عن أحدث إصدارات من أجهزتها اللوحية “آيباد”، وعن شريحة معالجتها الجديدة للذكاء الاصطناعي “إم 4”.	7/5/2024
تسريب بيانات جنود الجيش البريطاني في اختراق لوزارة الدفاع	تعرضت وزارة الدفاع البريطانية لاختراق إلكتروني ضخم مما تسبب في تسرب بيانات مهمة، شملت البيانات والمعلومات الشخصية لأفراد الجيش البريطاني، وفقا لصحيفة الغارديان.	7/5/2024
ما رأي آبل وسامسونغ في حيلة الأرز لإنقاذ الهواتف عند سقوطها في الماء؟	يسود اعتقاد بين كثيرين أن الأرز يمثل وسيلة فعالة لإنقاذ الهاتف الذكي بعد سقوطه في الماء. فما مدى صحة هذا الاعتقاد؟ وما رأي مصنعي الهواتف مثل آبل وسامسونغ بهذا؟	7/5/2024
مايكروسوفت تبني نموذج ذكاء اصطناعي لمنافسة غوغل و"أوبن إيه آي"	أفادت صحيفة “إنفورميشن” يوم الاثنين بأن شركة مايكروسوفت تقوم بتدريب نموذج لغة ذكاء اصطناعي داخلي جديد كبير بما يكفي للتنافس مع نماذج شركة ألفابت غوغل، وبرنامج “أوبن إيه آي”.	7/5/2024
باريس 2024 تستعد لمواجهة تهديد غير مسبوق للأمن السيبراني	تستعد دورة باريس 2024 للألعاب الأولمبية لمواجهة تحد غير مسبوق على صعيد الأمن السيبراني، إذ يتوقع المنظمون ضغوطا كبيرة على الألعاب هذا الصيف.	6/5/2024
إنترسبت: مايكروسوفت عرضت أداة ذكاء اصطناعي لدعم أنظمة إدارة القتال بالجيش الأميركي	اقترحت شركة مايكروسوفت استخدام أداة توليد الصور الشهيرة “دال-إي”، التي تطورها شركة “أوبن إيه آي”، لمساعدة وزارة الدفاع الأميركية في تصميم برمجيات لتنفيذ العمليات العسكرية.	6/5/2024
كيف تتحكم في بياناتك التي يمتلكها غوغل؟	شركة غوغل تملك عنك الكثير والكثير من البيانات، تخيل كم البيانات التي تمنحها عبر متصفح كروم وخدمة بريد غيميل وخرائط غوغل ويوتيوب، وكلها خدمات وتطبيقات تدخل في أنشطة حياتنا اليومية المختلفة.	6/5/2024
غوغل تعلن وقف تطبيق بودكاستس اعتبارا من منتصف الشهر المقبل	أبلغت شركة التكنولوجيا وخدمات الإنترنت الأميركية غوغل مستخدمي تطبيق المدونات الصوتية غوغل بودكاستس باعتزامها وقف تشغيل هذا التطبيق بحلول منتصف يونيو/حزيران المقبل.	5/5/2024
خرق أمني أتاح الوصول إلى معلومات حول اجتماعات للجيش الألماني	أفاد موقع “تسايت أونلاين” الألماني السبت بأن خرقا أمنيا معلوماتيا قد أتاح الوصول إلى معلومات تتعلق بانعقاد ما لا يقل عن 6 آلاف اجتماع للجيش الألماني على منصة “ويبيكس” المخصصة للمؤتمرات عبر الفيديو.	5/5/2024
إعدادات كاميرا الآيفون: هل الأفضل الأعلى كفاءة أم الأكثر توافقا؟	كاميرات هواتف آيفون وصلت إلى مستوى واسع في الانتشار والاهتمام، لتصبح كاميرات احترافية يلتقط بها المستخدمون صورهم يوميا. لكن هناك مشكلة لا تحظى بالاهتمام الكافي وهي حجم ملفات تلك الصور.	5/5/2024
الجزيرة نت تستشرف من مكاتب غوغل كلاود مستقبل الذكاء الاصطناعي بالمنطقة العربية	بعد مرور عام على مؤتمر الذكاء الاصطناعي الأول الذي نظمه معهد الجزيرة عام 2023؛ تلتقي الجزيرة نت الدكتورَ شوقي توبي مسؤول الذكاء الاصطناعي في قسم الشركاء.	5/5/2024
ما الذي ننتظره من مؤتمر غوغل للمطورين 2024؟	مؤتمر غوغل “آي/أو”  المؤتمر الأكبر للمطورين الذي تعقده الشركة سنويا، ويشبه إلى حد كبير مؤتمر آبل للمطورين أو مؤتمر مايكروسوفت، وهو الحدث الذي تناقش فيه غوغل كل ما تعمل عليه من أجهزة جديدة وبرمجيات.	4/5/2024
أجهزة آيباد نجم الحفل.. ما الذي نتوقعه من مؤتمر آبل القادم؟	أعلنت آبل عن موعد مؤتمرها الجديد القادم بالسابع من الشهر الجاري، لكنها لم تكشف أي تفاصيل سوى إرسال الدعوات لوسائل الإعلام والتي تضمن تصميمها “قلم آبل” في إشارة لجهاز آيباد.	4/5/2024
"فيكتوريا شي" ناطقة رسمية للشؤون القنصلية في أوكرانيا مولّدة من الذكاء الاصطناعي	أعلنت وزارة الخارجية الأوكرانية الأربعاء أن ناطقة رسمية أُنشئت بواسطة الذكاء الاصطناعي ستتولى من الآن فصاعدا التعليق على الشؤون القنصلية من خلال قراءة نصوص سيكون معدّوها بشرا.	3/5/2024
إسرائيل تطور "قبة سيبرانية" في وجه الهجمات المعلوماتية الإيرانية	في حين يبدو خطر التصعيد العسكري مستبعدا بالوقت الراهن، تدور حرب “صامتة” بين إيران وإسرائيل في الفضاء السيبراني حيث تسعى الأخيرة إلى إحباط الهجمات الإيرانية.	3/5/2024
شركة "أنثروبيك" تطرح روبوت الدردشة "كلود" كتطبيق على الآيفون	أعلنت شركة “أنثروبيك” الناشئة، التي تطور نموذج “كلود” للذكاء الاصطناعي، إطلاق أول تطبيق لروبوت الدردشة الخاص بها على نظام “آي أو إس” لهواتف آيفون.	2/5/2024
ما وراء الخوارزمية والمحتوى.. لماذا تسعى أميركا لحظر تطبيق تيك توك؟	وراء الصراع بين الولايات المتحدة وشركة بايت دانس مالكة تطبيق تيك توك، تكمن تقنية التطبيق الأساسية، وهي الخوارزمية المتطورة التي يعتمد عليها التطبيق لترشيح المحتوى للمستخدمين، فما سر هذه الخوارزمية؟	2/5/2024
موعد عرض ألعاب "إكس بوكس" الصيفي	أعلنت “إكس بوكس” موعد العرض لحدثها الذي يتضمن لأول مرة ألعابا من إنتاج “أكتيفيجن بليزارد” و”بيثيسدا” وأستوديوهات الألعاب التابعة لمايكروسوفت.	2/5/2024
ما تقنية القيادة الذاتية بالكامل في سيارات تسلا؟	سافر إيلون ماسك، الرئيس التنفيذي لشركة تسلا، إلى العاصمة الصينية بكين في زيارة مفاجئة يوم الأحد الماضي، والهدف كان مقابلة كبار المسؤولين الصينيين لمناقشة إطلاق برمجيات القيادة الذاتية الكاملة.	1/5/2024
ما سيارات أشهر وأهم الشخصيات في عالم التقنية الآن؟	في عالم التقنية فائق السرعة، الذي يقود فيه الابتكار عجلة التطور، تقدم لنا مجموعة السيارات الشخصية لكبار قادة قطاع التقنية لمحة مثيرة للإعجاب عن حياتهم خارج قاعة الاجتماعات.	1/5/2024
موظفو غوغل المطرودون بسبب احتجاجهم على العقد الإسرائيلي يرفعون قضية على الشركة	قدمت مجموعة من العاملين في شركة غوغل شكوى إلى مجلس العمل الأميركي تزعم أن شركة التكنولوجيا قامت بشكل غير قانوني بطرد حوالي 50 موظفا بسبب احتجاجهم على عقد السحابة مع الحكومة الإسرائيلية.	1/5/2024
هل تحتاج الشركات لتوظيف رئيس تنفيذي للذكاء الاصطناعي؟	مع ازدياد تعيين الرؤساء التنفيذيين للذكاء الاصطناعي، يثير تقرير صدر حديثا من شركة بحوث تكنولوجيا المعلومات “غارتنر” تساؤلات عما إذا كانت الشركات بحاجة لإنشاء هذه الوظيفة الجديدة.	30/4/2024
"تسلا" تحصل على ضوء أخضر في الصين خلال زيارة إيلون ماسك	حصلت شركة صناعة السيارات الكهربائية الأميركية “تسلا” على موافقة تنظيمية حاسمة من السلطات الصينية بشأن أمن البيانات خلال الزيارة السريعة التي قام بها مالكها إيلون ماسك إلى الصين وانتهت الاثنين.	30/4/2024
بعد تنحي جيم رايان.. إلى أين تذهب ألعاب بلاي ستيشن؟	من النادر أن تجد مديرا تنفيذيا عاصر كل المراحل التي مرت بها شركته بداية من خروجها للنور وحتى صعودها إلى القمة، ولكن جيم ريان المدير التنفيذي السابق لقسم “بلاي ستيشن” لدى شركة “سوني” هو حالة استثنائية.	30/4/2024
"سيما".. نموذج ذكاء اصطناعي يصل إلى ألعاب الفيديو	الشخصيات في ألعاب الفيديو التي يتحكم فيها بواسطة الحاسوب ليست شيئا جديدا. ولكن اليوم ظهر نموذج مميز وجديد في مجال الألعاب ذات التحكم الذاتي بواسطة الحاسوب والذي سيغير عالم الألعاب.	30/4/2024
الاتحاد الأوروبي ينوي التحقيق مع ميتا بشأن تعاملها مع المعلومات المضللة من روسيا	تعتزم سلطات الاتحاد الأوروبي فتح تحقيق اليوم الاثنين مع منصات فيسبوك وإنستغرام التابعة لشركة ميتا، بسبب مخاوف من أن شركة التواصل الاجتماعي لا تبذل ما يكفي من الجهد لمواجهة المعلومات المضللة من روسيا.	29/4/2024
بعد عام من تحقيق الجزيرة.. دعوى في النمسا ضد شات جي بي تي "العاجز عن تصحيح" أخطائه	أعلنت جمعية “نويب” النمساوية التي تدافع عن حماية الخصوصية الاثنين أنها رفعت دعوى في النمسا ضد برنامج الذكاء الاصطناعي الشهير “شات جي بي تي”.	29/4/2024
كيف يستخدم القراصنة وجهك لارتكاب عمليات احتيال؟	في بداية عام 2024 ظهر تطبيق خبيث بتقنية جديدة يحمل اسم غولد بيكاكس ويستهدف وجه المستخدم لتنفيذ عمليات احتيالية وسرقة المعلومات، فما هذا التطبيق وكيف تحمي نفسك من الوقوع في فخه؟	29/4/2024
بطاريات الحالة الصلبة.. القفزة التقنية القادمة في الهواتف المحمولة؟	هناك جانب واحد ظل متشابها بين هواتف الأمس واليوم، وهو البطاريات التي تُركت خارج سباق التطور ولم تحصل على تحديثات تواكب بقية مكونات الهاتف، فهل تكون بطاريات الحالة الصلبة هي القفزة القادمة للهواتف؟	29/4/2024
إيلون ماسك في زيارة مفاجئة للصين لمناقشة تقنيات القيادة الذاتية لسيارات تسلا	وصل إيلون ماسك الرئيس التنفيذي لشركة تسلا إلى العاصمة الصينية بكين اليوم الأحد في زيارة مفاجئة، ومن المتوقع أن يلتقي كبار المسؤولين الصينيين لمناقشة إطلاق برمجيات القيادة الذاتية الكاملة.	28/4/2024
الأول من نوعه عربيا.. الأردن يحتضن مؤتمر مستقبل الرياضات الإلكترونية	اختتمت في الأردن قمة مستقبل الرياضات الإلكترونية بتنظيمٍ من مختبر الألعاب الأردني، وبمشاركة ما يزيد على ألف شاب وشابة من المهتمين بصناعة الرياضات الإلكترونية.	28/4/2024
آبل تجدد محادثاتها مع "أوبن إيه آي" لتوفير ميزات الذكاء الاصطناعي في الآيفون	جددت شركة “آبل” المحادثات مع شركة “أوبن إيه آي” بشأن استخدام تقنيات الذكاء الاصطناعي التوليدي، لتشغيل بعض الميزات الجديدة التي ستقدمها آبل في هاتف آيفون لاحقا هذا العام.	28/4/2024
غزة وأوكرانيا جعلتا البنتاغون يفكر بمشروع مسيرات "ريبليكيتور" الذكية	ظهور المسيرات في ساحات القتال أدى إلى تغيير موازين القوى، فالجيش الذي يتمتع بالأفضلية أصبح الجيش الذي يمتلك الأسلحة الجديدة بكميات كبيرة والتي يمكنه تصنيعها واستبدالها بسرعة.	28/4/2024
سيطرة دامت 35 عاما.. كيف غزت نينتندو قطاع منصات الألعاب المحمولة؟	داعبت فكرة أجهزة الألعاب المحمولة خيال المطورين والشركات، فظهرت عدة منصات للألعاب المحمولة، ولكن اسما واحدا ظل طاغيا على صناعة منصات الألعاب المحمولة، وهي شركة “نينتندو” اليابانية.	28/4/2024
أميركا تعين مجلسا استشاريا لسلامة وأمن الذكاء الاصطناعي وهؤلاء أعضاؤه	أعلنت وزارة الأمن الداخلي الأميركية يوم الجمعة تشكيل مجلس إدارة يضم الرؤساء التنفيذيين لشركات تكنولوجيا كبرى سيقدم المشورة للحكومة بشأن دور الذكاء الاصطناعي في البنية التحتية الحيوية.	27/4/2024
الذكاء الاصطناعي يكشف مكان قبر أفلاطون	يعمل الذكاء الاصطناعي على تسريع الاكتشافات الجديدة في مجال الصناعات، بدءا من إنتاج الفيديو وحتى الطب، ولكن المجال الجديد الآن الذي دخل فيه الذكاء الاصطناعي هو فك ألغاز العصور القديمة.	27/4/2024
غوغل ومايكروسوفت تؤكدان أن الاستثمارات الضخمة في الذكاء الاصطناعي تتوافق مع المداخيل	حققت شركتا غوغل ومايكروسوفت أرباحا فصلية فاقت التوقعات، وقدمتا نظرة إيجابية بشأن قدرتهما على توليد مداخيل من استثماراتهما الضخمة في مجال الذكاء الاصطناعي.	26/4/2024
كيف تثبِّت الإصدار التجريبي لنظام أندرويد 15 على هواتف بيكسل؟	طرحت شركة غوغل أول نسخة تجريبية عامة “بيتا” من نظام التشغيل أندرويد 15، كما ستعلن الشركة عن مميزات أندرويد 15 الجديدة في مؤتمرها القادم للمطورين يوم 14 مايو/أيار.	26/4/2024
أوقفه ترامب.. الولايات المتحدة تعيد تطبيق مبدأ المساواة في الوصول إلى الإنترنت	قررت هيئة الاتصالات الأميركية الخميس إعادة العمل بمبدأ “حيادية الشبكة” الذي يضمن المساواة في الوصول إلى الإنترنت، بعدما ألغته إدارة الرئيس الأميركي السابق دونالد ترامب.	26/4/2024
بايت دانس تفضل إغلاق "تيك توك" على بيعه للولايات المتحدة	قالت 4 مصادر إن شركة “بايت دانس” مالكة تطبيق “تيك توك” تفضل إغلاق تطبيقها بدلا من بيعه إذا استنفدت الشركة الصينية جميع الخيارات القانونية لمحاربة التشريعات الرامية إلى حظر المنصة في الولايات المتحدة.	25/4/2024
خوفا من "السلوك الإدماني".. تيك توك تعلق ميزة المكافآت في تطبيقها الجديد "تيك توك لايت"	أعلنت “تيك توك” أنها علقت ميزة في تطبيقها الجديد “تيك توك لايت” توفر مكافآت للمستخدمين استنادا إلى الوقت الذي يمضونه في مشاهدة مقاطع الفيديو بسبب مخاوف من أن تكون الميزة الجديدة محفزة للسلوك الإدماني.	25/4/2024
ما مشروع "نيمبوس" الذي ضحت غوغل بموظفيها وسمعتها من أجله؟	حظيت غوغل على مدى سنوات بسمعة طيبة باعتبارها الأكثر حرية وانفتاحا بين شركات التقنية الكبرى من حيث ثقافة وبيئة العمل، لكن هذه الحرية والانفتاح تلاشيان بعد الكشف عن مشروع “نيمبوس” مع إسرائيل.	25/4/2024
