title	text	publication_date
أهل غزة: الميناء الأميركي هدفه سرقة الغاز وتهجير الفلسطينيين	تقول الولايات المتحدة إنها أنشأت الرصيف العائم بغرض إيصال المساعدات الإنسانية لقطاع غزة، لكن الفلسطينيين يشعرون بالريبة تجاهه مشيرين إلى أهداف سرية بعيدة المدى من وراء المشروع.	22/5/2024
آخرها إسبانيا والنرويج وأيرلندا.. ما الدول التي تعترف بفلسطين؟	تعترف 3 أرباع بلدان العالم تقريباً بدولة فلسطين التي أعلنتها قيادة منظمة التحرير بالخارج قبل أكثر من 35 عاماً، وهو ما قرّرت 3 دول أوروبية (إسبانيا والنرويج وأيرلندا) أن تمضي قدما فيه اليوم الأربعاء.	22/5/2024
وزير خارجية النرويج للجزيرة: اعترفنا بالدولة الفلسطينية لتحقيق العدل والمساواة	أكد وزير خارجية النرويج إسبن بارث إيدي في مقابلة مع قناة الجزيرة أن اعتراف بلاده رسميا بالدولة الفلسطينية سيدخل حيز التنفيذ الأسبوع المقبل في 28 مايو/أيار الجاري، مشددا على ضرورة تسوية قضية فلسطين.	22/5/2024
ترحيب عربي واسع وغضب إسرائيلي عارم باعتراف دول أوروبية بفلسطين	رحبت فلسطين ودول عربية بإعلان النرويج وإسبانيا وأيرلندا الاعتراف رسميا بالدولة الفلسطينية، وفي حين اعتبرت حركة المقاومة الإسلامية (حماس) الخطوة مهمة، عبّرت إسرائيل عن غضبها واستدعت سفراء الدول الثلاث.	22/5/2024
الاحتلال يوسع اقتحامه لجنين ويشن حملات اعتقال في القدس والخليل	وسَّع جيش الاحتلال الإسرائيلي، الأربعاء، عمليته العسكرية بمدينة جنين ومخيمها شمال الضفة الغربية المحتلة، كما شن حملات اعتقال في القدس المحتلة والخليل.	22/5/2024
حزب الله يعلن مقتل اثنين من عناصره بغارة إسرائيلية	نعى حزب الله اللبناني اثنين من عناصره قتلا في غارة إسرائيلية على جنوب لبنان ضمن قصف يومي متبادل مع إسرائيل للشهر الثامن.	22/5/2024
حكم غزة عسكريا.. هل يصمد مخطط نتنياهو؟	تظهر الخلافات المتواصلة في مجلس الحرب الإسرائيلي أن نتنياهو يسعى لحكم غزة عسكريا، وهو يرفض بإصرار التعامل مع ما يسمى اليوم التالي في غزة، كما أعلن رفضه للاقتراح الأميركي بتمكين سلطة فلسطينية “متجددة”.	22/5/2024
بن غفير يقتحم المسجد الأقصى لأول مرة منذ بدء الحرب على غزة	اقتحم وزير الأمن القومي الإسرائيلي إيتمار بن غفير صباح اليوم الأربعاء المسجد الأقصى لأول مرة منذ نحو 8 أشهر، وأدلى بتصريحات توعد فيها حركة “حماس” وهاجم الدول التي اعترفت بالدولة الفلسطينية.	22/5/2024
برلمانيون أوروبيون يدعون نائبا إسرائيليا للاعتذار وحذف "تغريداته الدنيئة" عن نكبة ثانية	دعا برلمانيون أوروبيون في رسالة موقعة بأسمائهم أعضاء الكنيست الإسرائيلي إلى تعيين رئيس جديد لوفدهم للعلاقات مع البرلمان الأوروبي بدل أرييل كالنر ما لم يعتذر عن دعوته إلى “نكبة ستطغى على نكبة 48”.	22/5/2024
لمواجهة العنصرية.. "متحف فلسطين" في ديار مانديلا	في وسط مدينة كيب تاون (إحدى أهم مدن جنوب أفريقيا) يقع مبنى متحف فلسطين ذو الطوابق الثمانية، مطلا على قلاع التفرقة العنصرية البائدة، ومذكرا بجرائم الاحتلال بحق الشعب الفلسطيني.	22/5/2024
سرقة الاحتلال لجثامين شهداء بغزة تثير الغضب بمواقع التواصل	تداول مغردون على مواقع التواصل الاجتماعي بشكل واسع مقطع فيديو حصلت عليه الجزيرة يظهر جنودا من الجيش الاحتلال الإسرائيلي وهم ينقلون جثثا تعود للشهداء الفلسطينيين.	22/5/2024
النرويج وأيرلندا وإسبانيا تعلن الاعتراف رسميا بالدولة الفلسطينية	أعلنت إسبانيا والنرويج وأيرلندا الاعتراف رسميا بالدولة الفلسطينية، في خطوة ستدخل حيز التنفيذ يوم 28 مايو/أيار الجاري، وسط ترحيب فلسطيني وغضب إسرائيلي كبير.	22/5/2024
يديعوت أحرونوت: هذه مآلات تحرك الجنائية الدولية ضد نتنياهو ووزير دفاعه	طرحت “يديعوت أحرونوت” على موقعها الإلكتروني عدة أسئلة تتعلق بعزم المدعي العام للمحكمة الجنائية الدولية إصدار مذكرات اعتقال بحق عدد من قادة إسرائيل وحماس بتهمة ارتكاب جرائم حرب.	22/5/2024
الكونغرس يخطط لدعوة نتنياهو ومذكرات الاعتقال قد تؤثر على علاقات إسرائيل	قال رئيس مجلس النواب الأميركي مايك جونسون إنه على وشك دعوة رئيس الوزراء الإسرائيلي بنيامين نتنياهو لإلقاء كلمة بالكونغرس، ورجح دبلوماسيون تأثر علاقات إسرائيل مع دول مؤيدة لها إذا صدرت مذكرات الاعتقال.	22/5/2024
القسام تنصب كمائن للاحتلال وإسرائيل تقاتل بـ10 ألوية في غزة	أعلنت كتائب القسام الجناح العسكري لحركة المقاومة الإسلامية (حماس) إيقاع قوة إسرائيلية من 10 جنود في كمين مركّب شمال بيت حانون، في المقابل قال جيش الاحتلال الإسرائيلي إن 10 ألوية تقاتل حاليا في غزة.	22/5/2024
إسرائيل تصعّد قصفها لغزة وتحرق منازل ومحلات في جباليا	استشهد عشرات الفلسطينيين مع تصاعد القصف الإسرائيلي على مناطق متفرقة في قطاع غزة، كما تعمدت قوات الاحتلال إحراق عدد من المنازل والمحلات التجارية بمخيم جباليا شمالي القطاع.	22/5/2024
مسؤول أميركي يشيد بإسرائيل وآخرون يائسون من نتنياهو	تواصلت المواقف الأميركية المتضاربة بشأن الحرب الإسرائيلية على قطاع غزة، ففي حين قال مسؤول كبير إن إسرائيل تأخذ في الحسبان مخاوف واشنطن بشأن رفح، قال آخرون إنهم يائسون من رئيس الوزراء الإسرائيلي.	22/5/2024
دير البلح.. مركز المحافظة الوسطى في قطاع غزة	دير البلح إحدى مدن قطاع غزة، سيطر عليها الاحتلال في يونيو/حزيران 1967 وتحررت منه بشكل كامل عام 2005، تعد مركز المحافظة الوسطى منذ عام 1994، حسب التقسيم الإداري الذي اعتمدته السلطة الفلسطينية حينها.	22/5/2024
الاحتلال يواصل اقتحام جنين وسط اشتباكات مع المقاومة الفلسطينية	أفادت القناة الـ14 الإسرائيلية بانفجار في مركبة عسكرية لجيش الاحتلال جراء عبوة ناسفة زرعت على جانب الطريق في جنين، في وقت تتواصل فيه العملية العسكرية الإسرائيلية بالضفة الغربية.	22/5/2024
هآرتس: الجنائية الدولية قد تقود إسرائيل إلى واقع سيئ	قالت “هآرتس”، إن عزم المدعي العام للجنائية الدولية إصدار مذكرة اعتقال بحق رئيس الحكومة الإسرائيلية ووزير الدفاع بالإضافة إلى 3 من (حماس) يضع إسرائيل أمام واقع دبلوماسي لم تتعرض لمثله من قبل.	21/5/2024
الأونروا تعلن تعليق توزيع الأغذية في رفح	أعلنت الأونروا اليوم الثلاثاء توقف توزيع المواد الغذائية برفح بسبب نقص الإمدادات وانعدام الأمن نتيجة العملية الإسرائيلية شرق المدينة، قائلة إنها لم تتلق أي إمدادات طبية خلال الأيام العشرة الأخيرة.	21/5/2024
شاهد.. القسام تقنص جنديا إسرائيليا وتقصف حشود الاحتلال بمحور نتساريم	عرضت كتائب القسام -الجناح العسكري لحركة المقاومة الإسلامية (حماس)- مشاهد من قنص أحد مقاتليها جنديا إسرائيليا في “محور نتساريم” جنوب غربي حي تل الهوى بمدينة غزة.	21/5/2024
محللون: 3 أسباب لغضب واشنطن من نتنياهو وأولوية إسرائيل تصفية قضية فلسطين	اتفق محللون سياسيون على أن الخلاف الإسرائيلي الأميركي تشويش مقصود بهدف منح تل أبيب مهلة لتنفيذ خططها بتصفية الوجود الفلسطيني في قطاع غزة والضفة الغربية، مؤكدين أن حل الدولتين ليس واردا.	21/5/2024
ماذا بعد طلب الجنائية الدولية توقيف قادة من إسرائيل وحماس؟	أقدم المدعي العام للمحكمة الجنائية الدولية كريم خان على خطوة كبيرة حين طلب إصدار مذكرات توقيف بحق رئيس الوزراء الإسرائيلي بنيامين نتنياهو ووزير دفاعه يوآف غالانت، إضافة إلى قادة من حماس.	21/5/2024
إسرائيل تحذر مدعي الجنائية وتدعو دول العالم لرفض مذكرات اعتقال قادتها	وجّه رئيس الوزراء الإسرائيلي بنيامين نتنياهو تحذيرا للمدعي العام للمحكمة الجنائية الدولية كريم خان بعد طلبه رسميا إصدار مذكرة لاعتقاله ووزير دفاعه يوآف غالانت.	21/5/2024
واشنطن بوست توثق 90 استهدافا إسرائيليا لمستشفيات غزة	أكدت صحيفة واشنطن بوست اليوم الثلاثاء أن إسرائيل جعلت من المستشفيات هدفا رئيسيا لحربها المستمرة على قطاع غزة، موثقة 90 حادثة استهداف منذ 7 أكتوبر/تشرين الأول الماضي.	21/5/2024
هل تستطيع الجنائية الدولية اعتقال نتنياهو؟	أوضح رئيس الجنائية الدولية السابق أنه من الممكن أن تعتقل المحكمة رئيس الوزراء الإسرائيلي بنيامين نتنياهو والمتهمين الآخرين الذين من المتوقع صدور مذكرات توقيف ضدهم خلال الفترة المقبلة.	21/5/2024
بلينكن: لو لدينا معلومات عن موقع السنوار سنمررها لإسرائيل	قال وزير الخارجية الأميركي أنتوني بلينكن -اليوم الثلاثاء- إنه لو توفرت لديهم معلومات عن موقع وجود يحيى السنوار “سنمررها إلى إسرائيل”، وذلك في ظل الحرب الإسرائيلية المستمرة على قطاع غزة لليوم الـ228.	21/5/2024
الاحتلال يلطخ بالدم سجل العلامات المدرسية في جنين	تفاعل رواد العالم الافتراضي مع اقتحام قوات الاحتلال مدينة جنين ومخيمها صباح اليوم الثلاثاء، واستشهاد 7 أشخاص بينهم طالب ومعلم وطبيب، كما تلطخ سجل العلامات المدرسية بالدم.	21/5/2024
خبراء في القانون الدولي للجزيرة نت: إمكانية إسقاط التهم عن المقاومة غير مستبعدة	بين التوقعات بإضافة أسماء إسرائيلية جديدة إلى القائمة، ووجود فرصة لإزالة الأسماء الفلسطينية، يبدي خبراء في القانون الدولي توقعاتهم بما سينبني على إعلان أوامر الاعتقال من المحكمة الجنائية الدولية.	21/5/2024
مراسل الجزيرة في غزة يفوز بجائزة شيرين أبو عاقلة للتميز الإعلامي	منحت جامعة بيرزيت مراسل قناة الجزيرة في غزة هشام زقوت “جائزة شيرين أبو عاقلة للتميز الإعلامي” لعام 2024، التي خصصت هذا العام لصحفيي قطاع غزة، تقديرا لدورهم في تغطية الحرب المتواصلة على القطاع.	21/5/2024
لماذا لا تؤمّن قوات راجلة دبابات الاحتلال في غزة؟ خبير عسكري يجيب	بثت كتائب القسام الجناح العسكري لحركة المقاومة الإسلامية (حماس) مقطع فيديو جديدا يظهر وضع أحد مقاتليها عبوة العمل الفدائي على بعد أمتار قليلة من دبابة إسرائيلية شرقي مدينة رفح جنوبي قطاع غزة.	21/5/2024
اقتحام دموي جديد.. هكذا قتل الاحتلال معلما وطبيبا وتلميذا في جنين	بدأ اقتحام قوات الاحتلال الإسرائيلي مدينة جنين ومخيمها أثناء توجه الطلاب إلى مدارسهم والموظفين إلى عملهم، مما أدى إلى استشهاد معلم وتلميذ وإصابة آخرين.	21/5/2024
تواصل الاحتجاجات المؤيدة لفلسطين بجامعات أميركية وأسترالية	تتواصل الاحتجاجات الطلابية المناصرة لغزة، في جامعات أميركية وأسترالية، في حين قضت محكمة في لندن اليوم بأن بريطانيا منحت الشرطة بشكل غير قانوني صلاحيات أوسع لفرض قيود على احتجاجات سلمية.	21/5/2024
معارك ضارية في تل الزعتر وجباليا ورفح والقسام تعلن قتل 5 جنود	تتواصل المعارك الضارية بين المقاومة الفلسطينية وقوات الاحتلال في محاور عدة بقطاع غزة، حيث أعلنت كتائب القسام الجناح العسكري لحركة المقاومة الإسلامية (حماس) قتل عدد من الجنود الإسرائيليين.	21/5/2024
ستاندرد آند بورز: استمرار الحرب على غزة يهدد اقتصاد إسرائيل	أعربت وكالة ستاندرد آند بورز للتصنيفات الائتمانية عن توقعات حذرة في ما يتعلق بوتيرة الانتعاش الاقتصادي مع استمرار الحرب على قطاع غزة والتوترات المرتبطة بها في الشمال مع حزب الله وفي البحر الأحمر.	21/5/2024
هنا غزة.. مشاهد من الشمال تشعل منصات التواصل	تجدد القصف الإسرائيلي المكثف على شمال قطاع غزة حيث أظهرت مشاهد، متداولة على منصات التواصل الاجتماعي، حجم معاناة ووجع الأهالي بالمنطقة، وهذا ما أثار غضب النشطاء.	21/5/2024
خسائر بالجنود والعتاد.. محللون سياسيون: نتنياهو يقود إسرائيل للمجهول	كبدت فصائل المقاومة الفلسطينية الجيش الإسرائيلي خسائر فادحة في الجنود والضباط والعتاد والآليات العسكرية مما يعكس على تقديرات الأوساط الإسرائيلية لمسار الحرب والثقة بالحكومة.	21/5/2024
فلسطينية تقلّب أرشيف عائلتها في غزة من القدس	تروي ابنة رئيس بلدية غزة الأسبق منير الريس للجزيرة نت، ذكرياتها في غزة وملاحقة والدها واعتقاله وإبعاده وهدم منزله من قبل الاحتلال. وفي الحرب الحالية، ورغم وجعهها، ترى حتمية النصر والعودة والإعمار.	21/5/2024
الصين تأمل موضوعية الجنائية الدولية وروسيا تنتقد الموقف الأميركي	أعربت الصين عن أملها أن تكون المحكمة الجنائية الدولية “موضوعية”، في حين قالت روسيا إن من الغريب للغاية أن تبدو الولايات المتحدة مستعدة لفرض عقوبات على المحكمة.	21/5/2024
كيف علق مغردون على طلب الجنائية اعتقال قادة حماس ونتنياهو وغالانت؟	تفاعلت منصات التواصل مع إعلان المدعي العام للمحكمة الجنائية الدولية كريم خان عن تقديمه طلبات إلى المحكمة لاستصدار أوامر باعتقال قادة من حماس ورئيس الوزراء الإسرائيلي ووزير دفاعه.	21/5/2024
وسط قلق بالغ.. 6 إجراءات إسرائيلية لمواجهة طلب مدعي الجنائية الدولية	انتقدت إسرائيل بشدة طلب المدعي العام للمحكمة الجنائية الدولية إصدار مذكرة توقيف بحق رئيس الوزراء بنيامين نتنياهو ووزير دفاعه يوآف غالانت، واصفة القرار بأنه “وصمة عار تاريخية”.	21/5/2024
أيام بمواجهة الجحيم.. جباليا مهد الانتفاضة ومصيدة جنود الاحتلال	عشرة أيام من النار واللهب والدمار في جباليا، رائحة الموت حلت محل نفحات البخور والورس المسافر عبر القرون، في بلدة كانت منذ الأزل إحدى وجنات الشمس المتوردة، وواحدة من مشارق أنوار الحضارة والعمران.	21/5/2024
عشرات الشهداء في غارات إسرائيلية ومعارك محتدمة في جباليا ورفح	سقط عشرات الشهداء والجرحى في غارات للاحتلال الإسرائيلي على جباليا وبيت لاهيا شمال قطاع غزة وعلى رفح جنوبيه، وذلك وسط اشتباكات عنيفة بين المقاومة والاحتلال في مخيم جباليا.	21/5/2024
أنا واضع قانون ليهي: يجب تطبيقه على إسرائيل	انتقد باتريك ليهي، الذي عمل عضوا في مجلس الشيوخ الأميركي منذ 48 عاما، حكومة بلاده على عدم تطبيقها القانون الذي سُمي باسمه على إسرائيل بنفس القدر الذي تطبقه على حركة المقاومة الإسلامية (حماس).	21/5/2024
طلبة ينسحبون من حفل تخرجهم بجامعة ييل الأميركية دعما للفلسطينيين	انسحب العشرات من الخريجين من حفل بجامعة ييل الأميركية الاثنين، احتجاجا على العدوان الإسرائيلي على غزة والعلاقات المالية بين الجامعة وشركات تصنيع أسلحة، فضلا عن تعاملها مع المظاهرات المناصرة لفلسطين.	21/5/2024
الجنائية الدولية.. قراءة قانونية في إعلان كريم خان ضد إسرائيل وحماس	في خطوة غير مسبوقة في تاريخ الصراع الفلسطيني الإسرائيلي، أعلن المدعي العام للمحكمة الجنائية الدولية كريم خان سعيه للحصول على أوامر اعتقال بحق رئيس الوزراء الإسرائيلي ووزير دفاعه وقادة من حماس.	21/5/2024
لماذا يحاول الاحتلال تغيير محاور توغله نحو جباليا؟ خبير عسكري يجيب	قال الخبير العسكري والإستراتيجي العقيد ركن حاتم كريم الفلاحي إن جيش الاحتلال الإسرائيلي يحاول أن يعرف من أين يمكنه حسم المعركة في مخيم جباليا شمالي قطاع غزة.	21/5/2024
هكذا تبدو رفح مع النزوح الكبير عقب العملية الإسرائيلية البرية	بعد أن كانت الملجأ الأخير للنازحين في قطاع غزة، باتت اليوم مدينة رفح بمن فيها من سكان ونازحين تعاني ويلات التشرد وانعدام المساعدات وانتشار الخوف، عقب العملية البرية التي نفذتها القوات الإسرائيلية.	21/5/2024
القيادة المركزية الأميركية تكشف حجم المساعدات المنقولة لغزة عبر الرصيف	قالت القيادة المركزية الأميركية (سنتكوم)، اليوم الثلاثاء إنه جرى تسليم أكثر من 569 طنا متريا من المساعدات الإنسانية إلى غزة عبر الرصيف المؤقت حتى الآن.	21/5/2024
فرنسا تنفصل عن حلفائها الغربيين وتدعم تحرك الجنائية الدولية ضد إسرائيل	خلافا لمواقف القوى الغربية، أعربت فرنسا عن دعمها لاستقلالية المحكمة الجنائية الدولية بعد أن طلب المدعي العام لديها إصدار مذكرات توقيف بحق رئيس الوزراء الإٍسرائيلي ووزير دفاعه، إلى جانب 3 من قادة حماس	21/5/2024
7 شهداء و8 مصابين برصاص الاحتلال خلال اقتحامه مخيم جنين	أعلنت وزارة الصحة الفلسطينية استشهاد 7 فلسطينيين وإصابة 8 آخرين إصابات 3 منهم خطيرة برصاص وحدات خاصة إسرائيلية تسللت إلى مدينة جنين ومخيمها شمالي الضفة الغربية المحتلة في ساعات الصباح الأولى.	21/5/2024
مخيم البريج.. لاجئون يخنقهم الاحتلال	يقع وسط قطاع غزة بجانب مخيمي المغازي والنصيرات، إلى الجنوب من مدينة غزة، وقد تم إنشاؤه في خمسينيات القرن الماضي، لاستضافة اللاجئين الذين كانوا يعيشون في ثكنات الجيش البريطاني والخيام.	21/5/2024
مجلس الأمن يعقد جلسة مفتوحة لمناقشة الوضع في رفح	عقد مجلس الأمن الدولي في وقت مبكر من اليوم الثلاثاء جلسة مفتوحة لمناقشة الوضع في رفح جنوبي قطاع غزة، وقد علت في الجلسة التحذيرات من تداعيات أي عملية عسكرية إسرائيلية هناك.	21/5/2024
قوات الاحتلال تقتحم بلدات بالضفة وتشن حملة اعتقالات	اقتحم الاحتلال الإسرائيلي عددا من المدن والبلدات بالضفة الغربية، كما شن حملة اعتقالات بين السكان.	21/5/2024
بايدن: ما يحدث في غزة ليس إبادة جماعية	دافع الرئيس الأميركي جو بايدن بقوة عن إسرائيل، مؤكدا أن القوات الإسرائيلية لا ترتكب إبادة جماعية في حملتها العسكرية على قطاع غزة.	21/5/2024
حزب الله يشن عددا من الهجمات على مواقع إسرائيلية	أعلن حزب الله اللبناني عن شن 12 هجوما على مواقع إسرائيلية في الجليل الأعلى ومزارع شبعا المحتلة، في حين استهدفت إسرائيل بلدات عديدة في جنوبي لبنان.	21/5/2024
تحقيق للجزيرة يكشف عن مقابر جماعية بغزة بعد إعدامات ميدانية	أعلن المدعي العام للمحكمة الجنائية الدولية كريم خان أن رئيس الوزراء الإسرائيلي بنيامين نتنياهو ووزير دفاعه يوآف غالانت يتحملان المسؤولية عن الجرائم ضد الإنسانية في غزة واستخدام التجويع سلاحا.	20/5/2024
ماذا بعد طلب خان إصدار أوامر اعتقال ضد قادة بإسرائيل؟	بعد إعلان المدعي العام للمحكمة الجنائية الدولية تقديم طلبات إلى المحكمة لاستصدار أوامر اعتقال ضد نتنياهو وغالانت تبرز أسئلة عديدة بشأن الخطوات المقبلة والإطار الزمني.	20/5/2024
أميركا تهاجم طلب الجنائية الدولية توقيف نتنياهو وغالانت وتصفه بالشائن	وصف الرئيس الأميركي جو بايدن طلب المدعي العام للمحكمة الجنائية الدولية إصدار أوامر اعتقال بحق رئيس الوزراء الإسرائيلي بنيامين نتنياهو ووزير دفاعه يوآف غالانت بأنه “أمر شائن”.	20/5/2024
من الأقصى.. طبيب بريطاني يروي مشاهداته في غزة	طفل بين 13 و14 عاما وجد علبة من سمك “الطون” فسارع إلى فتحها من شدة الجوع، لكنها كانت مفخخة فقطعت يديه وتسببت في بتر قدميه، واحد من المشاهد الحاضرة في ذاكرة الطبيب البريطاني محمد طاهر.	20/5/2024
أصداء وفاة الرئيس الإيراني في إسرائيل	استبعد محللون تغيير طهران سياساتها تجاه إسرائيل بعد حادثة تحطم مروحية الرئيس وعدد من مرافقيه، رغم نفي تل أبيب مسؤوليتها عنه، كما استبعدوا أن يؤدي هذا الحادث إلى إنهاء الحرب والتوتر الذي يحيط بإسرائيل.	20/5/2024
رشيد مشهراوي: مشروع أفلام "من المسافة صفر" ينقل حقيقة ما يعيشه أهل غزة	يقف عدد من صناع الأفلام وسط الخراب والدمار الذي خلفته الحرب الإسرائيلية على غزة حاملين كاميراتهم ليسجلوا قصصا وحكايا من داخل القطاع ضمن مشروع “من المسافة صفر” للمخرج الفلسطيني رشيد مشهراوي.	20/5/2024
"بالله تسيبها إلي".. تنافس مقاومَين بساحة المعركة يشعل مواقع التواصل	تداول ناشطون مقطع فيديو لكتائب القسام يظهر فيه مقاومان فلسطينيان وهما يتنافسان في وسط المعركة على من يتقدم لتدمير دبابة إسرائيلية من مسافة صفر.	20/5/2024
خبير عسكري: هذه إستراتيجية الاحتلال في رفح و"أهدافه الخاصة" بجباليا لن يحققها	قالت إذاعة الجيش الإسرائيلي إن قوات من الجيش تقدمت في عمق مدينة رفح جنوبي قطاع غزة، وأصبحت في حي البرازيل، واحتلت ثلثي محور فيلادلفيا (محور صلاح الدين).	20/5/2024
خبير قانوني: قرار الجنائية الدولية يعني نهاية إفلات الإسرائيليين من العقاب	يرى الدكتور جيل ديفير، أستاذ القانون الدولي والمحامي المعتمد لدى المحكمة الجنائية الدولية أن قرار المدعي العام للمحكمة كريم خان يعني نهاية الإفلات من المسؤولية والعقاب بالنسبة للمسؤولين الإسرائيليين.	20/5/2024
إسرائيل ترد على طلب الجنائية الدولية اعتقال نتنياهو وغالانت	نددت إسرائيل، الاثنين، بطلب مدعي عام المحكمة الجنائية الدولية إصدار مذكرة توقيف بحق رئيس الوزراء بنيامين نتنياهو ووزير دفاعه يوآف غالانت، واصفة القرار بأنه “وصمة عار تاريخية”.	20/5/2024
إسرائيل تتعهد بتوسيع العملية البرية في رفح	أبلغ وزير الدفاع الإسرائيلي يوآف غالانت اليوم الاثنين مستشار الأمن القومي الأميركي جيك سوليفان أن إسرائيل تعتزم توسيع توغلها البري في مدينة رفح جنوبي قطاع غزة.	20/5/2024
سعد جبار: قرار الجنائية الدولية جريء لكنه أعرج	وصف الخبير بالقانون الدولي الدكتور سعد جبار قرار مدعي عام المحكمة الجنائية الدولية كريم خان بأنه خطوة جريئة لكنها جاءت متأخرة، بالنظر لفظاعة الجرائم المرتكبة بغزة.	20/5/2024
حماس تطالب الجنائية الدولية بإلغاء أوامر اعتقال ضد قادتها	طالبت حركة المقاومة الإسلامية (حماس) المحكمة الجنائية الدولية بإلغاء كل مذكرات التوقيف الصادرة بحق قادة المقاومة الفلسطينية لمخالفتها المواثيق والقرارات الأممية.	20/5/2024
غزة تحت النار.. الشعراء الشهداء إذ ينثرون إبداعاتهم	غزة تحت النار، يقاوم شعبها بلحمه العاري، وعلى خطوط النار يكتب مبدعوها قصائدهم ويروون قصصهم، رحل كثير منهم ويواصل من تبقى القبض على جمر الكتابة.	20/5/2024
الشرطة الإسرائيلية تعتقل 12 محتجا على حكومة نتنياهو	اعتقلت الشرطة الإسرائيلية، اليوم الاثنين، 12 متظاهرا في القدس الغربية خلال مظاهرة ضد أداء حكومة بنيامين نتنياهو، التي اعتبرها محتجون “حكومة الدمار”.	20/5/2024
الدويري: القسام حققت الهدف في عملية جباليا	قال الخبير العسكري والإستراتيجي اللواء فايز الدويري إن كتائب القسام -الجناح العسكري لحركة حماس قد نجحت في استهداف جنود وآليات الاحتلال الإسرائيلي شرق مدينة جباليا شمالي قطاع غزة.	20/5/2024
هآرتس: الفلسطينيون يرفضون تولي أي كيان محلي مدعوم من إسرائيل لحكم غزة	قال جاك خوري محرر الشؤون العربية في صحيفة “هآرتس” إن أهالي غزة يعارضون فكرة تولي كيانات محلية تحت رعاية إسرائيلية، حكم القطاع المحاصر.	20/5/2024
